2022-05-06/09:55
UID        PID  PPID  C STIME TTY          TIME CMD
omar       768   757  0 09:55 pts/2    00:00:00 bash projet.sh -m
omar       778   768  0 09:55 pts/2    00:00:00 ps au
omar       779   768  0 09:55 pts/2    00:00:00 ps -af
root       780   768  0 09:55 pts/2    00:00:00 sudo cp log.txt /var/log/surveillance.log
gdm        934   915  0 ماي05 tty1  00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm        962   934  0 ماي05 tty1  00:00:51 /usr/bin/gnome-shell
gdm       1141   962  0 ماي05 tty1  00:00:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1400   962  0 ماي05 tty1  00:00:00 ibus-daemon --xim --panel disable
gdm       1403  1400  0 ماي05 tty1  00:00:00 /usr/lib/ibus/ibus-dconf
gdm       1407     1  0 ماي05 tty1  00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm       1428   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm       1434   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm       1436   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm       1439   934  0 ماي05 tty1  00:00:12 /usr/lib/gnome-settings-daemon/gsd-color
gdm       1441   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm       1443   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm       1446   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm       1450   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm       1451   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm       1452   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm       1455   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm       1458   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm       1460   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm       1463   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm       1465   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm       1470   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm       1471   934  0 ماي05 tty1  00:00:00 /usr/lib/gnome-settings-daemon/gsd-wacom
gdm       1520  1400  0 ماي05 tty1  00:00:00 /usr/lib/ibus/ibus-engine-simple
omar      5511  5508  0 ماي05 tty2  00:05:11 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
omar      5542  5508  0 ماي05 tty2  00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
omar      5665  5542  2 ماي05 tty2  00:21:05 /usr/bin/gnome-shell
omar      5698  5665  0 ماي05 tty2  00:00:10 ibus-daemon --xim --panel disable
omar      5702  5698  0 ماي05 tty2  00:00:00 /usr/lib/ibus/ibus-dconf
omar      5705     1  0 ماي05 tty2  00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
omar      5779  5542  0 ماي05 tty2  00:00:01 /usr/lib/gnome-settings-daemon/gsd-power
omar      5781  5542  0 ماي05 tty2  00:00:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
